Currency units per SDR for November 2007
Currency	November 01, 2007	November 02, 2007	November 05, 2007	November 06, 2007	November 07, 2007	November 08, 2007	November 09, 2007	November 12, 2007	November 13, 2007	November 14, 2007	November 15, 2007
Bahrain Dinar	0.594495	0.595820	0.598140	0.599193	0.599920	0.600100	0.600456	0.600897	0.597864	0.597746	0.597907
Botswana Pula	9.383420	9.393200	9.435300	9.536800	NA	NA	9.551190	9.744690	9.648500	9.565260	9.493610
Brazilian Real	NA	2.758210	2.797410	2.810950	2.849300	2.831170	2.867170	2.892940	2.940510	NA	NA
Brunei Dollar	2.297980	2.294550	2.311110	2.306260	2.315750	2.306720	NA	2.302590	2.296060	NA	NA
Canadian Dollar	1.538260	1.558800	1.566930	1.576870	1.570960	1.577500	1.577310	1.592540	1.575440	1.578460	1.591450
Chilean Peso	801.224000	804.356000	807.950000	811.162000	817.167000	818.934000	820.641000	821.855000	820.870000	814.332000	808.558000
Colombian Peso	3,232.890000	3,233.200000	3,267.970000	3,276.890000	3,310.090000	3,311.090000	3,334.820000	3,338.680000	3,330.780000	3,285.700000	3,276.430000
Czech Koruna	28.771300	28.862400	28.715500	28.802800	28.797700	28.843100	28.786700	28.752000	28.567200	NA	NA
Danish Krone	8.043370	8.059250	8.018410	8.018990	8.021050	8.034650	8.020210	8.011790	8.040200	8.044150	8.033870
Hungarian Forint	274.765000	275.092000	274.428000	275.390000	276.043000	276.781000	275.538000	277.851000	276.084000	274.009000	273.161000
Icelandic Krona	96.668800	96.503700	97.913500	99.488600	99.784500	100.118000	99.569900	100.443000	99.936000	97.530500	96.921800
Indian Rupee	62.216500	62.260300	62.581700	62.771900	62.880000	63.154400	63.367300	63.685700	63.093900	63.224300	63.082300
Indonesian Rupiah	14,797.600000	14,718.000000	14,929.600000	14,935.200000	15,006.000000	14,970.600000	14,958.700000	15,017.700000	14,948.200000	14,910.200000	14,909.500000
Iranian Rial	NA	14,787.800000	14,706.900000	14,731.300000	14,720.400000	NA	NA	14,758.800000	14,781.300000	14,787.800000	NA
Israeli New Sheqel	6.221650	6.230760	6.200940	6.219830	6.208210	6.163820	6.173830	6.170400	6.161510	6.118940	6.090390
Kazakhstani Tenge	190.824000	191.202000	191.961000	192.188000	NA	NA	192.225000	192.447000	191.746000	191.962000	192.205000
Korean Won	1,447.980000	1,456.750000	1,459.400000	1,472.170000	1,477.140000	1,490.840000	1,491.400000	1,483.390000	1,481.780000	1,478.310000	1,478.230000
Kuwaiti Dinar	0.436700	0.437675	0.439061	0.437365	0.437415	0.437547	0.437644	0.437729	0.435758	0.435908	0.436026
Libyan Dinar	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370	1.932370
Malaysian Ringgit	5.348880	5.334670	5.376890	5.365670	5.396890	5.385750	5.358570	5.384100	5.367280	5.359830	5.340630
Mauritian Rupee	NA	47.471000	47.877100	47.794100	NA	47.687900	NA	47.702400	47.439700	47.291400	47.251200
Mexican Peso	NA	17.328400	17.449000	17.535500	17.517300	17.513500	17.536200	17.530700	17.386600	17.394500	17.327900
Nepalese Rupee	100.163000	100.386000	100.777000	100.955000	101.077000	101.107000	101.726000	102.105000	101.844000	101.823000	101.851000
New Zealand Dollar	2.098350	2.089720	2.112050	2.081780	2.121710	2.123210	2.102360	2.127720	2.094120	2.051550	2.063290
Norwegian Krone	8.667460	8.735300	8.602220	8.650520	8.634980	8.674160	8.646410	8.681540	8.741720	8.729130	8.741030
Rial Omani	0.607936	0.609292	0.611662	0.612741	0.613482	0.613666	0.614028	0.614481	0.611381	0.611258	0.611423
Pakistani Rupee	96.796100	97.012000	97.389900	97.561900	97.679100	97.708700	97.767000	97.838700	97.345400	97.325500	97.352000
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	3.973320	3.970600	3.966330	3.968400	3.965690	3.967210	3.948460	3.975510	3.951480	3.929860	3.910080
Qatar Riyal	5.755230	5.768040	5.790490	5.800700	5.807740	5.809500	5.812910	5.817200	5.787840	5.786670	5.788240
Russian Ruble	38.761200	38.819400	38.867600	38.786900	38.799100	38.727100	38.822600	38.852500	38.737600	38.711200	38.827600
Saudi Arabian Riyal	5.929160	5.942370	5.965480	5.976000	5.983220	5.985050	5.988560	5.993010	5.962740	5.961540	5.963170
Singapore Dollar	2.297980	2.294550	2.311110	2.306260	2.315750	2.306720	2.302170	2.302590	2.296060	2.299570	2.299080
South African Rand	10.593400	10.617000	10.682200	10.852400	NA	NA	10.867300	11.186900	11.058900	NA	10.725800
Sri Lanka Rupee	174.637000	174.920000	175.751000	176.076000	176.227000	176.199000	176.246000	176.495000	175.689000	175.651000	175.717000
Swedish Krona	10.059800	10.042600	10.006100	10.043700	10.047800	10.011000	9.976950	10.024300	10.085000	NA	NA
Swiss Franc	1.777160	1.772090	1.767220	1.765080	1.760670	1.759130	1.760800	1.758580	1.775630	1.780200	1.781950
Thai Baht	53.530000	53.657300	53.864200	54.002400	53.962500	53.959600	54.013800	54.074500	53.820700	53.789200	NA
Trinidad And Tobago Dollar	9.983930	10.004400	10.012800	10.045900	10.070800	10.036500	10.077100	10.097200	10.034100	10.028400	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.806590	5.819570	5.842210	5.852510	5.859570	5.861360	5.864830	5.869130	5.839520	5.838360	5.839930
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
